sim_idx,task_id,reward,category,warning_fired,lines_looked_up,l1001_lookups,write_actions_on_lines,failed_env_assertions,failed_actions,passed_actions,refuel_gb_amount
103,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_app_storage_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],0,A_wrong_line_write,True,L1001;L1002,1,"{""enable_roaming"": ""L1001""}",assert_can_send_mms;assert_data_refueling_amount,refuel_data;toggle_roaming,toggle_airplane_mode;set_network_mode_preference;toggle_wifi_calling;grant_app_permission;toggle_data;reseat_sim_card,
104,[mms_issue]bad_network_preference|bad_wifi_calling|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Easy],0,D_never_refueled,True,L1001;L1002,1,,assert_can_send_mms;assert_data_refueling_amount,grant_app_permission;refuel_data,set_network_mode_preference;toggle_wifi_calling;toggle_data;reseat_sim_card;toggle_roaming,
105,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|data_usage_exceeded|unseat_sim_card[PERSONA:Easy],0,C_refuel_wrong_amount,True,L1001;L1002,1,"{""refuel_data"": ""L1002""}",assert_can_send_mms;assert_data_refueling_amount,toggle_wifi_calling;refuel_data,toggle_airplane_mode;set_network_mode_preference;reset_apn_settings;reboot_device;grant_app_permission;toggle_data;reseat_sim_card,0.1
106,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None],0,C_refuel_wrong_amount,True,L1001;L1002,1,"{""enable_roaming"": ""L1002"", ""refuel_data"": ""L1002""}",assert_can_send_mms;assert_data_refueling_amount,toggle_wifi_calling;grant_app_permission;refuel_data,toggle_airplane_mode;set_network_mode_preference;reset_apn_settings;reboot_device;toggle_data;reseat_sim_card;enable_roaming,0.1
107,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Easy],0,C_refuel_wrong_amount,True,L1001;L1002,1,"{""enable_roaming"": ""L1002"", ""refuel_data"": ""L1002""}",assert_can_send_mms;assert_data_refueling_amount,toggle_wifi_calling;refuel_data,toggle_airplane_mode;set_network_mode_preference;reset_apn_settings;reboot_device;grant_app_permission;toggle_data;reseat_sim_card;enable_roaming,0.1
108,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],0,C_refuel_wrong_amount,True,L1001;L1002,1,"{""refuel_data"": ""L1002""}",assert_data_refueling_amount,refuel_data,toggle_airplane_mode;set_network_mode_preference;toggle_wifi_calling;reset_apn_settings;reboot_device;grant_app_permission;toggle_data;reseat_sim_card;toggle_roaming,0.1
109,[mms_issue]bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|data_usage_exceeded|unseat_sim_card[PERSONA:Easy],0,E_missed_troubleshooting,True,L1001;L1002,1,"{""refuel_data"": ""L1002""}",assert_can_send_mms,toggle_wifi_calling,set_network_mode_preference;reset_apn_settings;reboot_device;grant_app_permission;toggle_data;refuel_data;reseat_sim_card,2.0
110,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Easy],0,C_refuel_wrong_amount,True,L1001;L1002,1,"{""enable_roaming"": ""L1002"", ""refuel_data"": ""L1002""}",assert_can_send_mms;assert_data_refueling_amount,refuel_data,toggle_airplane_mode;set_network_mode_preference;toggle_wifi_calling;reset_apn_settings;reboot_device;grant_app_permission;reseat_sim_card;enable_roaming;toggle_roaming,0.1
111,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Easy],0,A_wrong_line_write,False,,0,"{""enable_roaming"": ""L1001""}",assert_can_send_mms;assert_data_refueling_amount,refuel_data;enable_roaming,toggle_airplane_mode;set_network_mode_preference;toggle_wifi_calling;reset_apn_settings;reboot_device;grant_app_permission;toggle_data;reseat_sim_card;toggle_roaming,
112,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard],0,C_refuel_wrong_amount,True,L1001;L1002,1,"{""enable_roaming"": ""L1002"", ""refuel_data"": ""L1002""}",assert_can_send_mms;assert_data_refueling_amount,toggle_wifi_calling;refuel_data,toggle_airplane_mode;set_network_mode_preference;reset_apn_settings;reboot_device;grant_app_permission;grant_app_permission;toggle_data;reseat_sim_card;enable_roaming,0.1
113,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Hard],0,D_never_refueled,True,L1001;L1002,1,"{""enable_roaming"": ""L1002""}",assert_can_send_mms;assert_data_refueling_amount,toggle_wifi_calling;refuel_data;toggle_roaming,toggle_airplane_mode;set_network_mode_preference;reset_apn_settings;reboot_device;grant_app_permission;grant_app_permission;toggle_data;reseat_sim_card;enable_roaming,
